student_id,student_name,attendance,grade,parent_income,guardian_phone
1,Manoj,75,65,2000,917416316287
2,Yadhav,80,85,4000,917416316287
3,Sneha,80,80,4500,917416316287
4,Yeswanth,85,88,5000,917416316287
5,Ram,85,80,5800,917416316287
6,Dheeraj,55,47,7300,919515815161
7,Meena,98,75,7402,917416316287
8,Pooja,80,83,9058,917416316287
9,Kushal,79,84,2300,919515815161
10,Vikky,85,91,4572,919392762217
11,Dedeep,26,70,5000,919392762217
12,Anjali,87,74,6500,917416316287
13,Mira,88,72,4000,917416316287
14,Divya,85,96,8800,917416316287
15,Sunny,92,97,8000,917416316287
16,Travis,87,77,7500,917416316287
17,Rahul,88,85,9500,917416316287
18,Arjun,77,90,8100,917416316287
19,Siri,31,53,5600,917416316287
20,Ravi,84,97,6500,917416316287
